 2022-04-10 22:28:56,125 [http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 1 ms (FrameworkServlet.java:547)
 2022-04-10 22:28:56,274 [http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | Entity 120 not found (ContractService.java:136)
 2022-04-10 22:28:56,274 [http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | test (ContractService.java:137)
 2022-04-10 22:30:52,993 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-10 22:30:56,616 [main] INFO  | org.hibernate.tuple.PojoInstantiator                         | HHH000182: No default (no-argument) constructor for class: rental.place.Place (class must be instantiated by Interceptor) (PojoInstantiator.java:47)
 2022-04-10 22:30:57,818 [main] INFO  | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
 2022-04-10 22:30:57,825 [main] INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default' (AbstractEntityManagerFactoryBean.java:437)
 2022-04-10 22:30:58,493 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-10 22:30:58,836 [main] WARN  | org.springframework.data.convert.CustomConversions           | Registering converter from class java.time.OffsetDateTime to class org.springframework.data.jdbc.core.convert.JdbcValue as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. (CustomConversions.java:271)
 2022-04-10 22:30:58,913 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-10 22:30:58,924 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 5.858 seconds (JVM running for 6.543) (StartupInfoLogger.java:61)
 2022-04-10 22:31:04,451 [http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
 2022-04-10 22:31:04,452 [http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 0 ms (FrameworkServlet.java:547)
 2022-04-10 22:31:04,565 [http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | Entity 120 not found (ContractService.java:136)
 2022-04-10 22:32:49,600 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-10 22:32:52,902 [main] INFO  | org.hibernate.tuple.PojoInstantiator                         | HHH000182: No default (no-argument) constructor for class: rental.place.Place (class must be instantiated by Interceptor) (PojoInstantiator.java:47)
 2022-04-10 22:32:54,080 [main] INFO  | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
 2022-04-10 22:32:54,086 [main] INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default' (AbstractEntityManagerFactoryBean.java:437)
 2022-04-10 22:32:54,795 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-10 22:32:55,160 [main] WARN  | org.springframework.data.convert.CustomConversions           | Registering converter from class java.time.OffsetDateTime to class org.springframework.data.jdbc.core.convert.JdbcValue as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. (CustomConversions.java:271)
 2022-04-10 22:32:55,236 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-10 22:32:55,245 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 5.571 seconds (JVM running for 6.273) (StartupInfoLogger.java:61)
 2022-04-10 22:32:58,521 [http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
 2022-04-10 22:32:58,522 [http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 0 ms (FrameworkServlet.java:547)
 2022-04-10 22:32:58,632 [http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | Entity 120 not found (ContractService.java:136)
